feature,level,encounters,patients,positives,negatives,rate,cluster_se,ci_low,ci_high,sparse,count
number_inpatient,0,60475,57146,5044,55431,0.0834063662670525,0.001125080149109749,0.08120124969507644,0.08561148283902856,False,0
number_inpatient,1,17344,15932,2207,15137,0.12724861623616235,0.002533082055896774,0.12228386663672,0.1322133658356047,False,1
number_inpatient,2,6672,5991,1176,5496,0.17625899280575538,0.004677862188335499,0.1670905513919761,0.18542743421953467,False,2
number_inpatient,3,2956,2579,605,2351,0.2046684709066306,0.007402514708697357,0.19015980868255578,0.21917713313070541,False,3
number_inpatient,4,1420,1202,348,1072,0.24507042253521127,0.011269492395465179,0.2229826233160515,0.26715822175437104,False,4
number_inpatient,5,733,611,233,500,0.3178717598908595,0.01738265697018737,0.2838023782736781,0.35194114150804084,False,5
number_inpatient,6,440,353,150,290,0.3409090909090909,0.0220234632620542,0.29774389610062363,0.38407428571755814,False,6
number_inpatient,7,247,176,86,161,0.3481781376518219,0.029494377634978166,0.29037021974084104,0.4059860555628027,False,7
number_inpatient,8,132,97,61,71,0.4621212121212121,0.04284983529860973,0.37813707819246395,0.5461053460499603,False,8
number_inpatient,9,102,70,43,59,0.4215686274509804,0.05204374546981766,0.31956476070956824,0.5235724941923926,False,9
number_inpatient,10,56,43,25,31,0.44642857142857145,0.0677260543797191,0.3136879440293209,0.579169198827822,False,10
number_inpatient,11,49,28,33,16,0.673469387755102,,,,True,11
number_inpatient,12,32,21,17,15,0.53125,,,,True,12
number_inpatient,13,16,9,10,6,0.625,,,,True,13
number_inpatient,14,9,8,3,6,0.3333333333333333,,,,True,14
number_inpatient,15,9,4,9,0,1.0,,,,True,15
number_inpatient,16,6,2,2,4,0.3333333333333333,,,,True,16
number_inpatient,18,1,1,0,1,0.0,,,,True,18
number_inpatient,19,2,2,1,1,0.5,,,,True,19
number_inpatient,21,1,1,1,0,1.0,,,,True,21
number_emergency,0,80198,60608,8292,71906,0.10339409960348138,0.0011868103337971585,0.10106799409275899,0.10572020511420377,False,0
number_emergency,1,7078,5270,1021,6057,0.1442497880757276,0.004832240803031537,0.13477877013716089,0.15372080601429433,False,1
number_emergency,2,1851,1360,341,1510,0.1842247433819557,0.010535932698137112,0.16357469475006906,0.20487479201384237,False,2
number_emergency,3,678,491,142,536,0.20943952802359883,0.017127735913904617,0.17586978249563257,0.2430092735515651,False,3
number_emergency,4,350,222,109,241,0.31142857142857144,0.030412239775688504,0.2518216767790255,0.3710354660781174,False,4
number_emergency,5,184,129,45,139,0.24456521739130435,0.03607913223028043,0.17385141762649647,0.31527901715611223,False,5
number_emergency,6,90,70,22,68,0.24444444444444444,0.05149396380832206,0.1435181299589242,0.34537075892996466,False,6
number_emergency,7,72,48,19,53,0.2638888888888889,0.07537600280739062,0.11615463808781332,0.41162313968996445,False,7
number_emergency,8,48,28,15,33,0.3125,,,,True,8
number_emergency,9,32,22,12,20,0.375,,,,True,9
number_emergency,10,34,23,12,22,0.35294117647058826,,,,True,10
number_emergency,11,23,18,5,18,0.21739130434782608,,,,True,11
number_emergency,12,10,8,2,8,0.2,,,,True,12
number_emergency,13,12,8,4,8,0.3333333333333333,,,,True,13
number_emergency,14,3,3,0,3,0.0,,,,True,14
number_emergency,15,3,3,1,2,0.3333333333333333,,,,True,15
number_emergency,16,5,4,2,3,0.4,,,,True,16
number_emergency,18,5,2,1,4,0.2,,,,True,18
number_emergency,19,4,2,2,2,0.5,,,,True,19
number_emergency,20,4,2,2,2,0.5,,,,True,20
number_emergency,21,2,2,1,1,0.5,,,,True,21
number_emergency,22,5,2,2,3,0.4,,,,True,22
number_emergency,25,2,2,0,2,0.0,,,,True,25
number_emergency,28,1,1,1,0,1.0,,,,True,28
number_emergency,29,1,1,0,1,0.0,,,,True,29
number_emergency,37,1,1,0,1,0.0,,,,True,37
number_emergency,42,1,1,0,1,0.0,,,,True,42
number_emergency,46,1,1,0,1,0.0,,,,True,46
number_emergency,54,1,1,0,1,0.0,,,,True,54
number_emergency,63,1,1,0,1,0.0,,,,True,63
number_emergency,64,1,1,1,0,1.0,,,,True,64
number_emergency,76,1,1,0,1,0.0,,,,True,76
number_outpatient,0,75295,56802,7966,67329,0.10579719768908959,0.0012692682497681322,0.10330947763282386,0.10828491774535531,False,0
number_outpatient,1,7855,6036,1078,6777,0.1372374283895608,0.004540998591626359,0.128337234696126,0.14613762208299558,False,1
number_outpatient,2,3305,2647,453,2852,0.13706505295007565,0.006841703410331915,0.12365556067292023,0.15047454522723105,False,2
number_outpatient,3,1889,1565,237,1652,0.1254632080465855,0.008483310514179923,0.1088362249691229,0.1420901911240481,False,3
